,part,radial_size,piece_cost,piece_mass,max_internal/skin_temp,tolerace_velocity,tolerance_weight
0,FL-A10 Adapter,Tiny; Small,150,0.05,2000,6,50
1,Rockomax Brand Adapter,Small; Large,500,0.1,2000,6,50
2,FL-A5 Adapter,Tiny; Small,100,0.04,2000,6,50
3,Rockomax Brand Adapter 02,Large; Small,450,0.08,2000,6,50
4,BZ-52 Radial Attachment Point,Small; Radial mounted,250,0.04,2000,10,50
5,Rockomax HubMax Multi-Point Connector,Small,900,1.5,2000,15,50
6,Structural Fuselage,Small,380,0.1,2000,10,50
7,TVR-200 Stack Bi-Coupler,Small; Small x 2,400,0.1,2000,9,50
8,TVR-1180C Mk1 Stack Tri-Coupler,Small; Small x 3,680,0.15,2000,12,50
9,TVR-2160C Mk2 Stack Quad-Coupler,Small; Small x 4,2000,0.175,2000,12,50
10,TVR-200L Stack Bi-Adapter,Large; Small x 2,400,0.1,2000,12,50
11,TVR-300L Stack Tri-Adapter,Large; Small x 3,600,0.15,2000,12,50
12,TVR-400L Stack Quad-Adapter,Large; Small x 4,800,0.2,2000,12,50
13,Mk3 Engine Mount,Mk3,2500,0.7,2600,50,50
